GEO.ID,GEO.id2,Pov,under 18
,,,
37001,"Alamance County, North Carolina",161866,36350
37019,"Brunswick County, North Carolina",135905,20888
37021,"Buncombe County, North Carolina",252525,46726
37023,"Burke County, North Carolina",87656,16354
37025,"Cabarrus County, North Carolina",208579,52757
37027,"Caldwell County, North Carolina",81140,16386
37031,"Carteret County, North Carolina",67574,11388
37035,"Catawba County, North Carolina",155628,34259
37037,"Chatham County, North Carolina",72501,14850
37045,"Cleveland County, North Carolina",95702,21098
37049,"Craven County, North Carolina",97743,22467
37051,"Cumberland County, North Carolina",316943,81138
37057,"Davidson County, North Carolina",164548,36126
37063,"Durham County, North Carolina",302710,64739
37067,"Forsyth County, North Carolina",368351,85848
37069,"Franklin County, North Carolina",65886,14326
37071,"Gaston County, North Carolina",219271,49097
37081,"Guilford County, North Carolina",514062,116584
37085,"Harnett County, North Carolina",130513,34157
37089,"Henderson County, North Carolina",114872,21303
37097,"Iredell County, North Carolina",176646,40215
37101,"Johnston County, North Carolina",200764,51130
37109,"Lincoln County, North Carolina",82783,17269
37119,"Mecklenburg County, North Carolina",1077563,253801
37125,"Moore County, North Carolina",97627,20826
37127,"Nash County, North Carolina",92017,20057
37129,"New Hanover County, North Carolina",225559,41496
37133,"Onslow County, North Carolina",177272,47967
37135,"Orange County, North Carolina",134444,28693
37147,"Pitt County, North Carolina",172388,37222
37151,"Randolph County, North Carolina",141597,31569
37155,"Robeson County, North Carolina",127513,32259
37157,"Rockingham County, North Carolina",89124,17782
37159,"Rowan County, North Carolina",136456,30478
37161,"Rutherford County, North Carolina",65270,13291
37171,"Surry County, North Carolina",71168,15129
37179,"Union County, North Carolina",233094,62942
37183,"Wake County, North Carolina",1071013,258962
37191,"Wayne County, North Carolina",119577,28011
37193,"Wilkes County, North Carolina",67616,13786
37195,"Wilson County, North Carolina",79823,18270
